material.id_material;material.ro;material.c;material.lambda_material;;
Calcestruzzo a struttura chiusa confezionato con aggregati naturali;2000;880;1.16;2.9;69.0
Calcestruzzo a struttura chiusa di argille espanse;1400;880;0.50;2.9;69.0
Calcestruzzo a struttura aperta di argille espanse;700;920;0.21;60;3.3
Calcestruzzo cellulare da autoclave;600;840;0.19;50;4.0
Calcestruzzo di inerti espansi di origine vulcanica;1200;1250;0.47;62.51;3.2
Calcestruzzo di perlite e vermiculite;250;840;0.13;62.51;3.2
Carta e cartone;1000;1300;0.16;1.5;133.3
Cartone bitumato;1100;1000;0.23;7.50E-02;2666.7
Cartongesso in lastre;900;1090;0.21;23;8.7
Cartone ondulato;100;1300;0.065;37.5;5.3
Fibre di vetro (feltri resinati);14;840;0.048;150;1.3
Fibre di vetro (pannelli semirigidi);30;840;0.040;150;1.3
Fibre minerali da rocce feldspatiche (feltri resinati);30;840;0.045;150;1.3
Fibre minerali da rocce feldspatiche (pannelli semirigidi);55;840;0.040;150;1.3
Fibre minerali da rocce feldspatiche (pannelli rigidi);80;840;0.039;150;1.3
Fibre minerali da rocce feldspatiche (pannelli in fibre orientate);100;840;0.048;150;1.3
Fibre minerali da rocce basaltiche (feltri trapuntati);80;840;0.044;150;1.3
Fibre minerali da loppe di altoforno (feltri);40;840;0.054;150;1.3
Fibre minerali da loppe di altoforno (pannelli semirigidi e rigidi);80;840;0.046;150;1.3
Malte di gesso per intonaci o in pannelli con inerti di vario tipo;900;840;0.41;18;11.1
Intonaco di gesso puro;1200;840;0.35;18;11.1
Intonaco di calce e gesso;1400;840;0.7;18;11.1
Malta di calce o di calce e cemento;1800;840;0.9;8.5;23.5
Malta di cemento;2000;840;1.4;8.5;23.5
Mattoni pieni, forati, leggeri, ad alta resistenza;1200;840;0.73;27;7.4
Abete (flusso perpendicolare alle fibre);450;2700;0.12;0.9;222.2
Abete (flusso parallelo alle fibre);450;2700;0.18;6;33.3
Pino (flusso perpendicolare alle fibre);550;2700;0.15;4.5;44.4
Pino (flusso parallelo alle fibre);550;2700;0.22;9.28;21.6
Acero (flusso perpendicolare alle fibre);710;2400;0.18;4.5;44.4
Acero (flusso parallelo alle fibre);710;2400;0.27;9.28;21.6
Quercia (flusso perpendicolare alle fibre);850;2400;0.22;4.5;44.4
Quercia (flusso parallelo alle fibre);850;2400;0.32;9.28;21.6
Siliconici, poliuretanici, acrilici;1200;1300;0.4;;
Asfalto;2100;920;0.7;0.00938;21322.0
Asfalto con sabbia;2300;880;1.15;0.09376;2133.1
Bitume;1200;920;0.17;0.00976;20491.8
Bitume con sabbia;1300;880;0.26;0.01875;10666.7
Cartone catramato;1600;880;0.5;0.01875;10666.7
Fogli di materiale sintetico;1100;1000;0.23;0.075;2666.7
